title,legal_name,slug,short_description,full_description,type,brand,brands,is_official_dealer,country,city,district,address,phone,whatsapp,email,website,instagram,working_hours,latitude,longitude,source_name,source_url,source_checked_at,data_verified,data_status,status,notes
Hyundai Kuldzhinka,,hyundai-kuldzhinka-almaty,Официальный дилер Hyundai в Алматы,Официальный дилерский центр Hyundai в Алматы данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Алматы,,г Алматы Кульджинский тракт 100/1,+7 (702) 881 1111,,,https://hyundai.kz/ru/contacts/,,09:00-21:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Astana,,hyundai-astana,Официальный дилер Hyundai в Астане,Официальный дилерский центр Hyundai в Астане данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Астана,,г Астана проспект Шакарима Кудайбердыулы 6/1,+7 7172 27 04 04,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Shymkent,,hyundai-shymkent,Официальный дилер Hyundai в Шымкенте,Официальный дилерский центр Hyundai в Шымкенте данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Шымкент,,г Шымкент Темирлановское шоссе 90А,+7 7252 600 001,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Karaganda,,hyundai-karaganda,Официальный дилер Hyundai в Караганде,Официальный дилерский центр Hyundai в Караганде данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Караганда,,г Караганда улица Камская 91/12,+7 (775) 096 72 62,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Kostanai,,hyundai-kostanai,Официальный дилер Hyundai в Костанае,Официальный дилерский центр Hyundai в Костанае данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Костанай,,г Костанай улица С Баймагамбетова 147/3,+7 714 299 02 99,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Aktobe,,hyundai-aktobe,Официальный дилер Hyundai в Актобе,Официальный дилерский центр Hyundai в Актобе данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Актобе,,г Актобе проспект Санкибай батыра 26/7,+7 7132 948 888,,,https://hyundai.kz/ru/contacts/,,08:00-19:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Pavlodar,,hyundai-pavlodar,Официальный дилер Hyundai в Павлодаре,Официальный дилерский центр Hyundai в Павлодаре данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Павлодар,,г Павлодар Промышленная зона Центральная 151/1,+7 775 097 06 20,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Premium Oskemen,,hyundai-premium-oskemen,Официальный дилер Hyundai в Усть-Каменогорске,Официальный дилерский центр Hyundai в Усть-Каменогорске данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Усть-Каменогорск,,г Усть-Каменогорск проспект К Сатпаева 62/3,+7 771 086 52 24,,,https://hyundai.kz/ru/contacts/,,08:30-19:30,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,Указан контакт сервисного отдела на странице дилера
Hyundai Atyrau,,hyundai-atyrau,Официальный дилер Hyundai в Атырау,Официальный дилерский центр Hyundai в Атырау данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Атырау,,г Атырау проспект Абулхаир хана 67,+7 771 311 03 41,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Aktau,,hyundai-aktau,Официальный дилер Hyundai в Актау,Официальный дилерский центр Hyundai в Актау данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Актау,,г Актау Промзона 9 здание 60,+7 701 091 68 12,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
Hyundai Kokshetau,,hyundai-kokshetau,Официальный дилер Hyundai в Кокшетау,Официальный дилерский центр Hyundai в Кокшетау данные с официального сайта Hyundai Kazakhstan,official_dealer,Hyundai,Hyundai,true,Kazakhstan,Кокшетау,,г Кокшетау улица Ш Уалиханова 197/8,+7 775 007 77 71,,,https://hyundai.kz/ru/contacts/,,09:00-20:00,,,Hyundai Kazakhstan,https://hyundai.kz/ru/contacts/,2026-05-06,true,verified,published,
